profile_id,building_id,owner_type,num_properties_owned,annual_rental_income_eur,existing_mortgage_eur,credit_rating,max_loan_capacity_eur,cash_reserves_eur,age_of_owner,avg_tenant_income_eur,avg_rent_eur_m2,rent_control_applies,max_rent_increase_pct,tenant_hardship_risk,vacancy_rate_pct,risk_tolerance
FIN-00069,BLD-00069,Corporate landlord,45,182073.88,431601.45,Excellent,279337.22,181465.83,0,73846.0,13.51,TRUE,8.0,Low,0.5,Medium
FIN-00070,BLD-00070,Housing cooperative,1,0.0,360984.24,Very Good,296977.88,149322.06,0,31225.0,7.55,FALSE,0.0,Medium,2.0,Low
FIN-00071,BLD-00071,Housing cooperative,1,0.0,290994.44,Very Good,421157.07,46568.62,0,34387.0,7.3,FALSE,0.0,Medium,0.0,Low
FIN-00072,BLD-00072,Individual,1,265351.83,291825.37,Fair,660072.5,60186.07,54,49325.0,12.48,FALSE,0.0,High,9.7,Medium
FIN-00073,BLD-00073,Housing cooperative,1,0.0,196305.0,Good,222350.02,167890.76,0,40157.0,8.81,FALSE,0.0,Medium,1.4,Low
FIN-00074,BLD-00074,Housing cooperative,1,0.0,144754.45,Very Good,654259.98,119461.09,0,35043.0,10.34,FALSE,0.0,Medium,0.3,Medium
FIN-00075,BLD-00075,Housing cooperative,1,0.0,150862.76,Very Good,279485.83,197425.39,0,50231.0,8.85,FALSE,0.0,Low,1.9,Low
FIN-00076,BLD-00076,Housing cooperative,1,0.0,365979.71,Very Good,666293.6,77085.64,0,45171.0,10.07,FALSE,0.0,Medium,3.0,Medium
FIN-00077,BLD-00077,Housing cooperative,1,0.0,128559.24,Very Good,606533.57,19352.74,0,45599.0,8.61,FALSE,0.0,Medium,0.6,Low
FIN-00078,BLD-00078,Corporate landlord,37,1242752.36,264882.94,Good,616210.08,165460.05,0,43680.0,21.54,FALSE,0.0,Medium,4.8,Medium
FIN-00079,BLD-00079,Municipal,66,110582.4,0.0,Excellent,50373.63,91592.37,0,43431.0,8.05,TRUE,8.0,Medium,3.4,Medium
FIN-00080,BLD-00080,Condominium,1,0.0,127070.7,Very Good,516756.55,32468.95,0,67683.0,12.66,TRUE,8.0,Low,0.0,High
FIN-00081,BLD-00081,Housing cooperative,1,0.0,346199.0,Good,752563.7,182131.93,0,36327.0,8.81,FALSE,0.0,Low,1.5,Low
FIN-00082,BLD-00082,Municipal,45,10761.6,0.0,Excellent,528196.71,184120.51,0,44885.0,7.12,TRUE,8.0,High,3.1,Medium
FIN-00083,BLD-00083,Corporate landlord,36,619567.62,356547.57,Very Good,474565.57,107404.14,0,61893.0,15.44,FALSE,0.0,Medium,2.3,High
FIN-00084,BLD-00084,Housing cooperative,1,0.0,207540.22,Good,273338.37,34443.03,0,46277.0,8.85,FALSE,0.0,Medium,1.6,Medium
FIN-00085,BLD-00085,Condominium,1,0.0,70986.33,Very Good,702557.98,68527.99,0,61367.0,17.75,TRUE,8.0,Low,0.0,High
FIN-00086,BLD-00086,Housing cooperative,1,0.0,247452.43,Excellent,734523.28,73562.97,0,47389.0,7.97,FALSE,0.0,Medium,2.2,Low
FIN-00087,BLD-00087,Individual,5,74647.64,351656.5,Fair,162555.58,114805.33,35,42539.0,11.14,FALSE,0.0,Low,4.0,High
FIN-00088,BLD-00088,Corporate landlord,48,247926.6,795609.24,Excellent,624425.88,150667.72,0,45311.0,16.77,TRUE,8.0,Low,0.2,High
FIN-00089,BLD-00089,Condominium,1,0.0,61656.99,Excellent,324925.1,186941.38,0,58853.0,17.73,TRUE,8.0,Low,0.0,High
FIN-00090,BLD-00090,Condominium,1,0.0,123998.09,Excellent,515252.11,54964.26,0,56746.0,14.7,TRUE,8.0,Low,0.0,Low
FIN-00091,BLD-00091,Individual,1,621518.54,482706.91,Good,643776.07,152925.78,44,45306.0,12.55,FALSE,0.0,Medium,8.7,Medium
FIN-00092,BLD-00092,Individual,2,159955.27,593288.9,Excellent,444318.45,11443.83,46,53486.0,14.4,FALSE,0.0,Medium,1.6,Low
FIN-00093,BLD-00093,Corporate landlord,22,277304.0,844442.81,Good,319624.98,113343.01,0,44798.0,21.35,TRUE,8.0,Low,1.7,Low
FIN-00094,BLD-00094,Corporate landlord,23,215980.69,1264697.84,Excellent,225686.64,12400.08,0,43208.0,13.54,TRUE,8.0,Low,0.4,High
FIN-00095,BLD-00095,Housing cooperative,1,0.0,259809.4,Good,231242.86,12968.14,0,30166.0,7.19,FALSE,0.0,Medium,1.2,Low
FIN-00096,BLD-00096,Municipal,63,108076.8,0.0,Excellent,347869.29,102773.17,0,44999.0,7.28,TRUE,8.0,High,4.6,Low
FIN-00097,BLD-00097,Condominium,1,0.0,18783.82,Very Good,238308.42,131123.69,0,57190.0,18.47,TRUE,8.0,Medium,0.0,Medium
FIN-00098,BLD-00098,Housing cooperative,1,0.0,282514.69,Good,589135.32,80155.28,0,32981.0,7.48,FALSE,0.0,Medium,1.9,Low
FIN-00099,BLD-00099,Corporate landlord,8,219206.11,291427.89,Excellent,640174.76,178815.28,0,53682.0,13.13,TRUE,8.0,Low,3.9,High
FIN-00100,BLD-00100,Municipal,49,269289.6,0.0,Excellent,175639.5,103520.24,0,33267.0,7.26,TRUE,8.0,High,4.1,Medium
FIN-00101,BLD-00101,Municipal,75,252624.0,0.0,Excellent,377250.74,176891.12,0,35509.0,9.44,TRUE,8.0,High,4.0,Low
FIN-00102,BLD-00102,Individual,1,42673.79,308070.43,Good,787804.9,145109.31,49,47183.0,11.6,TRUE,8.0,Low,3.9,High
FIN-00103,BLD-00103,Corporate landlord,40,339408.79,1472443.61,Excellent,81710.08,129994.21,0,55103.0,18.83,TRUE,8.0,Low,5.6,Low
FIN-00104,BLD-00104,Housing cooperative,1,0.0,383010.06,Good,220492.81,186648.58,0,40351.0,8.88,FALSE,0.0,Medium,0.0,Medium
FIN-00105,BLD-00105,Municipal,65,177148.8,0.0,Excellent,197893.73,93716.13,0,39479.0,8.06,TRUE,8.0,Medium,2.4,Medium
FIN-00106,BLD-00106,Individual,4,546009.82,579282.76,Excellent,535059.93,69378.6,37,36765.0,13.34,TRUE,8.0,Medium,9.9,Medium
FIN-00107,BLD-00107,Corporate landlord,46,350138.5,1216616.95,Good,669171.11,129239.38,0,49775.0,16.75,TRUE,8.0,Low,4.8,High
FIN-00108,BLD-00108,Housing cooperative,1,0.0,67686.96,Excellent,285721.69,145748.97,0,37281.0,7.81,FALSE,0.0,Low,1.4,Low
FIN-00109,BLD-00109,Corporate landlord,39,644011.72,810317.99,Good,470675.91,112284.1,0,53280.0,20.0,FALSE,0.0,Low,1.8,High
FIN-00110,BLD-00110,Municipal,49,54604.8,0.0,Excellent,262489.41,54259.06,0,42103.0,7.15,TRUE,8.0,High,4.1,High
FIN-00111,BLD-00111,Housing cooperative,1,0.0,397762.67,Very Good,769420.78,47868.77,0,51321.0,10.5,FALSE,0.0,Medium,2.4,Low
FIN-00112,BLD-00112,Individual,4,234264.52,461669.16,Fair,764534.08,171473.25,60,54902.0,13.64,FALSE,0.0,Low,0.9,Medium
FIN-00113,BLD-00113,Condominium,1,0.0,2865.96,Good,187157.3,184627.27,0,58547.0,17.4,TRUE,8.0,Medium,0.0,Low
FIN-00114,BLD-00114,Individual,5,32318.82,448342.45,Good,682729.79,46631.42,66,58482.0,13.65,FALSE,0.0,High,5.2,High
FIN-00115,BLD-00115,Corporate landlord,46,485995.94,1041998.11,Good,59343.64,46857.94,0,70610.0,21.03,TRUE,8.0,Low,2.5,Medium
FIN-00116,BLD-00116,Municipal,26,63964.8,0.0,Excellent,59551.9,147776.77,0,34667.0,9.5,TRUE,8.0,High,5.0,High
FIN-00117,BLD-00117,Condominium,1,0.0,113504.76,Good,590579.27,58513.39,0,66940.0,18.37,TRUE,8.0,Low,0.0,Low
FIN-00118,BLD-00118,Corporate landlord,24,112090.38,593776.0,Good,627730.47,52890.15,0,51514.0,16.06,TRUE,8.0,Low,1.9,Low
FIN-00119,BLD-00119,Condominium,1,0.0,107218.47,Good,477947.8,165301.21,0,75198.0,18.65,TRUE,8.0,Low,0.0,High
FIN-00120,BLD-00120,Condominium,1,0.0,33269.01,Excellent,718709.54,74703.11,0,59362.0,18.13,TRUE,8.0,Low,0.0,High
FIN-00121,BLD-00121,Municipal,11,176985.6,0.0,Excellent,206970.13,79675.23,0,31981.0,8.55,TRUE,8.0,Medium,3.8,Medium
FIN-00122,BLD-00122,Housing cooperative,1,0.0,232106.01,Good,536483.28,62081.75,0,44803.0,9.0,FALSE,0.0,Medium,2.2,Medium
FIN-00123,BLD-00123,Condominium,1,0.0,123706.3,Excellent,708625.68,28856.48,0,64850.0,13.73,TRUE,8.0,Low,0.0,High
FIN-00124,BLD-00124,Municipal,59,15897.6,0.0,Excellent,583332.28,48947.67,0,43686.0,8.64,TRUE,8.0,Medium,3.5,Low
FIN-00125,BLD-00125,Condominium,1,0.0,126378.96,Very Good,587884.56,107451.8,0,61995.0,17.62,TRUE,8.0,Low,0.0,Low
FIN-00126,BLD-00126,Individual,4,246668.87,558607.04,Good,387427.94,88818.24,74,51694.0,15.09,TRUE,8.0,Medium,3.5,High
FIN-00127,BLD-00127,Corporate landlord,28,938000.01,290696.11,Good,330513.96,144679.91,0,68362.0,20.33,FALSE,0.0,Low,0.4,Low
FIN-00128,BLD-00128,Individual,1,231727.62,538863.24,Good,775378.69,168563.06,74,58803.0,11.74,TRUE,8.0,Low,5.5,Low
FIN-00129,BLD-00129,Municipal,64,18835.2,0.0,Excellent,146108.16,15014.87,0,42510.0,7.74,TRUE,8.0,High,2.8,High
FIN-00130,BLD-00130,Housing cooperative,1,0.0,261484.6,Very Good,51493.97,170000.46,0,36983.0,7.42,FALSE,0.0,Medium,0.7,Medium
FIN-00131,BLD-00131,Individual,4,63039.87,197162.0,Excellent,269189.47,118431.34,43,48196.0,9.86,TRUE,8.0,High,5.8,Medium
FIN-00132,BLD-00132,Housing cooperative,1,0.0,334434.05,Excellent,777175.2,197628.66,0,30587.0,10.91,FALSE,0.0,Medium,2.7,Medium
FIN-00133,BLD-00133,Corporate landlord,39,360322.21,511930.1,Good,197561.75,124900.95,0,42890.0,15.05,FALSE,0.0,Medium,1.0,High
FIN-00134,BLD-00134,Corporate landlord,21,277564.11,290992.4,Very Good,684465.67,5109.37,0,42263.0,15.69,FALSE,0.0,Low,4.1,Medium
FIN-00135,BLD-00135,Municipal,60,270672.0,0.0,Excellent,777451.96,18703.71,0,36316.0,9.95,TRUE,8.0,Medium,2.5,Low
FIN-00136,BLD-00136,Corporate landlord,35,411088.05,587377.82,Very Good,296571.32,45259.57,0,45733.0,13.65,FALSE,0.0,Low,3.0,Low
FIN-00137,BLD-00137,Condominium,1,0.0,55030.53,Good,278278.11,22604.56,0,65790.0,13.55,TRUE,8.0,Medium,0.0,Low
FIN-00138,BLD-00138,Housing cooperative,1,0.0,282586.57,Good,641989.35,23393.24,0,39192.0,10.12,FALSE,0.0,Medium,0.7,Low
FIN-00139,BLD-00139,Condominium,1,0.0,62906.13,Very Good,641510.69,50140.63,0,75649.0,15.82,TRUE,8.0,Medium,0.0,Low
FIN-00140,BLD-00140,Individual,3,464081.97,16611.22,Good,415102.34,148360.9,36,53741.0,9.3,TRUE,8.0,High,1.7,Low
FIN-00141,BLD-00141,Housing cooperative,1,0.0,252866.24,Very Good,158605.78,173522.81,0,42854.0,9.66,FALSE,0.0,Medium,1.1,Low
FIN-00142,BLD-00142,Condominium,1,0.0,75676.39,Good,325460.56,54037.61,0,51327.0,17.52,TRUE,8.0,Low,0.0,High
FIN-00143,BLD-00143,Condominium,1,0.0,137526.92,Good,89278.99,7828.68,0,75610.0,14.74,TRUE,8.0,Low,0.0,High
FIN-00144,BLD-00144,Corporate landlord,16,226771.74,1399731.15,Very Good,529874.39,142115.23,0,46762.0,14.41,TRUE,8.0,Low,2.2,Low
FIN-00145,BLD-00145,Corporate landlord,37,450996.37,1067756.21,Very Good,72945.69,113368.09,0,59469.0,17.66,TRUE,8.0,Low,0.8,Low
FIN-00146,BLD-00146,Condominium,1,0.0,84179.12,Good,250205.81,83046.77,0,80291.0,16.18,TRUE,8.0,Medium,0.0,Low
FIN-00147,BLD-00147,Individual,2,564679.72,133150.7,Fair,86119.37,30410.54,71,44326.0,12.07,FALSE,0.0,Medium,6.8,Low
FIN-00148,BLD-00148,Housing cooperative,1,0.0,192381.37,Good,135956.62,135304.76,0,36068.0,10.44,FALSE,0.0,Medium,2.3,Medium
FIN-00149,BLD-00149,Condominium,1,0.0,139749.52,Good,195136.85,148953.98,0,87194.0,18.94,TRUE,8.0,Medium,0.0,High
FIN-00150,BLD-00150,Individual,3,40410.32,564782.9,Good,391434.32,104780.94,62,62590.0,13.19,TRUE,8.0,Medium,8.1,Medium
FIN-00151,BLD-00151,Housing cooperative,1,0.0,179039.03,Excellent,641774.25,131906.68,0,54465.0,9.54,FALSE,0.0,Low,2.3,Low
FIN-00152,BLD-00152,Condominium,1,0.0,41388.84,Very Good,366186.56,27124.77,0,77476.0,17.05,TRUE,8.0,Low,0.0,Medium
FIN-00153,BLD-00153,Condominium,1,0.0,56133.23,Very Good,702522.7,75253.44,0,60814.0,18.98,TRUE,8.0,Medium,0.0,Low
FIN-00154,BLD-00154,Condominium,1,0.0,52423.61,Good,72281.47,34051.93,0,52986.0,13.6,TRUE,8.0,Medium,0.0,Low
FIN-00155,BLD-00155,Municipal,33,12835.2,0.0,Excellent,168040.23,96309.17,0,31309.0,8.4,TRUE,8.0,High,2.6,Low
FIN-00156,BLD-00156,Condominium,1,0.0,64336.96,Good,577811.86,126684.2,0,46724.0,16.11,TRUE,8.0,Medium,0.0,Medium
FIN-00157,BLD-00157,Condominium,1,0.0,93764.66,Excellent,221172.9,106684.33,0,78349.0,18.66,TRUE,8.0,Low,0.0,Medium
FIN-00158,BLD-00158,Housing cooperative,1,0.0,206621.63,Good,505239.06,184169.11,0,34920.0,7.13,FALSE,0.0,Low,1.5,Low
FIN-00159,BLD-00159,Condominium,1,0.0,117798.48,Good,749731.13,7035.11,0,75298.0,19.76,TRUE,8.0,Medium,0.0,High
FIN-00160,BLD-00160,Housing cooperative,1,0.0,315798.35,Excellent,709868.67,118945.33,0,45411.0,8.72,FALSE,0.0,Medium,0.2,Medium
FIN-00161,BLD-00161,Municipal,52,210969.6,0.0,Excellent,80154.6,123686.35,0,32482.0,7.72,TRUE,8.0,High,1.6,Low
FIN-00162,BLD-00162,Corporate landlord,17,380920.11,401063.4,Excellent,415320.54,81848.4,0,67545.0,13.05,TRUE,8.0,Low,1.3,High
FIN-00163,BLD-00163,Municipal,29,26332.8,0.0,Excellent,773110.85,28225.49,0,42501.0,9.61,TRUE,8.0,High,3.0,Low
FIN-00164,BLD-00164,Municipal,36,92889.6,0.0,Excellent,120058.83,20012.14,0,41003.0,7.15,TRUE,8.0,High,4.6,Low
FIN-00165,BLD-00165,Housing cooperative,1,0.0,130565.95,Excellent,113944.39,36968.79,0,51503.0,10.64,FALSE,0.0,Medium,1.2,Medium
FIN-00166,BLD-00166,Individual,1,56417.75,26520.11,Good,334462.77,190412.09,53,32194.0,9.52,TRUE,8.0,High,3.7,High
FIN-00167,BLD-00167,Municipal,18,314131.2,0.0,Excellent,226827.66,160085.65,0,43534.0,8.91,TRUE,8.0,High,2.8,Medium
FIN-00168,BLD-00168,Individual,2,475130.05,31307.58,Good,793153.08,126109.37,52,60009.0,12.16,TRUE,8.0,Low,3.7,High
FIN-00169,BLD-00169,Housing cooperative,1,0.0,282483.29,Very Good,328050.63,96395.14,0,45462.0,9.87,FALSE,0.0,Low,0.4,Medium
FIN-00170,BLD-00170,Condominium,1,0.0,36375.51,Very Good,501934.89,160648.56,0,50664.0,17.18,TRUE,8.0,Low,0.0,Medium
FIN-00171,BLD-00171,Condominium,1,0.0,90797.96,Excellent,417432.1,26072.61,0,55482.0,12.59,TRUE,8.0,Low,0.0,High
FIN-00172,BLD-00172,Corporate landlord,21,212406.23,422285.67,Excellent,358205.16,136859.48,0,50358.0,21.1,TRUE,8.0,Low,5.8,Medium
FIN-00173,BLD-00173,Condominium,1,0.0,18155.56,Good,487427.37,24370.34,0,86150.0,16.42,TRUE,8.0,Low,0.0,Medium
FIN-00174,BLD-00174,Corporate landlord,15,30708.75,936943.51,Very Good,258652.68,10099.02,0,63806.0,14.11,TRUE,8.0,Low,3.5,Low
FIN-00175,BLD-00175,Housing cooperative,1,0.0,315276.33,Very Good,316336.22,103825.71,0,39698.0,10.64,FALSE,0.0,Medium,2.3,High
FIN-00176,BLD-00176,Municipal,32,110496.0,0.0,Excellent,485496.91,143783.85,0,31091.0,8.02,TRUE,8.0,High,4.1,Low
FIN-00177,BLD-00177,Condominium,1,0.0,49983.63,Very Good,340108.63,179596.18,0,45295.0,16.88,TRUE,8.0,Low,0.0,Medium
FIN-00178,BLD-00178,Individual,1,87508.98,411655.63,Excellent,681817.25,131593.08,76,45439.0,11.38,TRUE,8.0,Medium,3.4,High
FIN-00179,BLD-00179,Individual,2,139739.26,337212.76,Excellent,123081.79,153159.23,64,46413.0,9.86,TRUE,8.0,Medium,7.5,Low
FIN-00180,BLD-00180,Corporate landlord,12,456934.38,888969.52,Good,607188.05,194168.72,0,63477.0,17.51,TRUE,8.0,Low,4.7,Low
