building_id,district,postal_code,address,latitude,longitude,construction_year,building_type,num_units,total_area_m2,num_floors,roof_type,facade_material,window_type,heating_system,heating_age,insulation_walls,insulation_roof,insulation_basement,ownership_type,epc_rating,epc_date,energy_consumption_kwh_m2,last_renovation_year,listed_building
BLD-00023,Treptow-Köpenick,12459,Karl-Marx-Str. 160,52.458211,13.486997,1956,Post-war,29,2743.0,3,Mansard,Sandstone,Single-pane,Heat pump,21,None,None,None,Municipal,F,2022-10-26,191.6,,FALSE
BLD-00024,Tempelhof-Schöneberg,12103,Köpenicker Str. 146,52.485479,13.393196,1952,Post-war,19,1362.5,2,Flat,Render,Mixed,Mixed,21,Partial,Full,None,Municipal,F,2019-12-15,198.5,2003,FALSE
BLD-00025,Reinickendorf,13407,Köpenicker Str. 86,52.584648,13.312703,1918,Altbau,17,1145.0,6,Flat,Concrete,Single-pane,District heating,31,None,None,None,Corporate landlord,G,2023-08-14,226.8,,FALSE
BLD-00026,Lichtenberg,13051,Zehlendorfer Str. 63,52.527326,13.496878,1980,Plattenbau,46,4788.4,2,Pitched,Prefab panel,Triple-pane,District heating,12,None,Partial,Full,Corporate landlord,E,2020-03-17,152.1,,FALSE
BLD-00027,Friedrichshain-Kreuzberg,10967,Heerstr. 144,52.498333,13.447879,1984,1980s block,26,2306.1,9,Hip,Sandstone,Triple-pane,District heating,31,Partial,Partial,None,Municipal,F,2017-11-27,167.2,2007,FALSE
BLD-00028,Treptow-Köpenick,12557,Berliner Str. 74,52.471337,13.50746,1968,Plattenbau,23,2394.7,7,Pitched,Prefab panel,Single-pane,District heating,25,None,None,Partial,Condominium,G,2022-12-03,202.2,,FALSE
BLD-00029,Steglitz-Zehlendorf,14195,Tempelhofer Damm 100,52.450967,13.245604,1898,Gründerzeit,46,4697.5,2,Hip,Render,Single-pane,Oil boiler,20,None,None,None,Municipal,G,2019-09-13,244.8,2004,FALSE
BLD-00030,Spandau,13593,Zehlendorfer Str. 43,52.531854,13.20722,1894,Gründerzeit,60,6536.4,4,Pitched,Render,Single-pane,Mixed,2,Partial,Partial,None,Private landlord,H,2022-03-17,263.3,2019,FALSE
BLD-00031,Spandau,13593,Karl-Marx-Str. 98,52.524731,13.211829,1958,Post-war,28,1928.5,8,Pitched,Render,Single-pane,Electric,4,None,None,Full,Housing cooperative,E,2017-07-07,150.6,1992,FALSE
BLD-00032,Charlottenburg-Wilmersdorf,10623,Greifswalder Str. 33,52.519373,13.323493,1978,1970s block,5,402.9,5,Mansard,Prefab panel,Single-pane,Electric,8,Partial,Full,Partial,Condominium,F,2018-06-28,175.6,,FALSE
BLD-00033,Spandau,13593,Berliner Str. 152,52.527849,13.230051,2010,Modern,9,840.1,3,Mansard,Mixed,Mixed,Gas boiler,3,None,Full,Full,Housing cooperative,B,2020-12-22,73.0,2016,FALSE
BLD-00034,Lichtenberg,13055,Nonnendammallee 28,52.495569,13.499404,1973,1970s block,22,2065.8,9,Hip,Concrete,Mixed,Oil boiler,35,None,None,Partial,Municipal,F,2020-03-19,195.7,2007,FALSE
BLD-00035,Charlottenburg-Wilmersdorf,10587,Innsbrucker Str. 146,52.499762,13.311556,1989,1980s block,14,792.1,7,Mansard,Concrete,Triple-pane,District heating,23,Partial,Partial,Partial,Housing cooperative,E,2018-10-26,159.0,,FALSE
BLD-00036,Spandau,13597,Hauptstr. 62,52.510457,13.246364,2003,Modern,17,1580.7,5,Hip,Render,Double-pane,Gas boiler,19,Full,Full,Full,Condominium,C,2019-07-15,82.2,2013,FALSE
BLD-00037,Steglitz-Zehlendorf,14169,Marzahner Chaussee 85,52.454906,13.270938,1957,Post-war,16,1149.8,6,Flat,Brick,Triple-pane,Gas boiler,35,None,Partial,Partial,Condominium,G,2017-02-23,204.7,,FALSE
BLD-00038,Reinickendorf,13469,Wrangelstr. 76,52.581856,13.368441,1971,Plattenbau,13,725.1,6,Flat,Prefab panel,Single-pane,Gas boiler,19,Partial,None,None,Condominium,F,2022-02-25,180.7,2021,FALSE
BLD-00039,Mitte,10179,Karl-Marx-Str. 48,52.520687,13.393936,1886,Altbau,57,3492.7,9,Pitched,Render,Single-pane,Electric,4,Partial,None,None,Condominium,H,2016-09-03,268.1,2009,FALSE
BLD-00040,Charlottenburg-Wilmersdorf,10587,Rummelsburger Str. 159,52.509533,13.309132,1984,Plattenbau,35,2792.2,8,Hip,Prefab panel,Triple-pane,Electric,28,None,Full,None,Housing cooperative,G,2021-05-18,203.3,1996,FALSE
BLD-00041,Charlottenburg-Wilmersdorf,10623,Greifswalder Str. 45,52.499263,13.285683,1980,1980s block,7,542.3,2,Hip,Prefab panel,Double-pane,District heating,19,Partial,Partial,Full,Housing cooperative,F,2022-11-19,189.7,1994,FALSE
BLD-00042,Spandau,13587,Invalidenstraße 69,52.529131,13.218119,1884,Gründerzeit,6,384.8,2,Mansard,Sandstone,Mixed,Oil boiler,29,Full,None,Partial,Private landlord,H,2020-04-03,268.9,2015,FALSE
BLD-00043,Treptow-Köpenick,12559,Schönhauser Allee 111,52.46469,13.488044,2000,Modern,21,1184.9,6,Flat,Mixed,Mixed,Electric,2,Partial,Full,Partial,Housing cooperative,D,2021-06-18,101.2,,FALSE
BLD-00044,Neukölln,12059,Kastanienallee 150,52.477803,13.464964,1978,1970s block,28,3032.3,9,Hip,Prefab panel,Single-pane,Oil boiler,7,Full,Partial,Full,Condominium,F,2018-09-12,166.5,2021,FALSE
BLD-00045,Tempelhof-Schöneberg,12107,Prenzlauer Allee 83,52.456651,13.336164,1895,Altbau,57,5196.8,2,Hip,Render,Single-pane,Electric,24,None,None,Partial,Corporate landlord,H,2023-06-26,259.8,2018,FALSE
BLD-00046,Charlottenburg-Wilmersdorf,10625,Kolonnenstr. 179,52.509223,13.344937,1969,1970s block,2,188.1,5,Mansard,Sandstone,Single-pane,Heat pump,6,None,None,Partial,Condominium,F,2016-04-09,180.7,1997,FALSE
BLD-00047,Pankow,13187,Danziger Str. 107,52.586633,13.406268,1895,Gründerzeit,32,2563.9,5,Flat,Render,Single-pane,Electric,33,Partial,None,None,Condominium,G,2015-10-13,225.1,,FALSE
BLD-00048,Tempelhof-Schöneberg,12101,Bergmannstr. 73,52.497041,13.365542,1999,Modern,28,2872.5,9,Hip,Sandstone,Triple-pane,Oil boiler,22,Partial,Partial,None,Corporate landlord,D,2023-07-22,111.6,2014,FALSE
BLD-00049,Charlottenburg-Wilmersdorf,10623,Tempelhofer Damm 12,52.510013,13.296349,1957,Post-war,17,1296.0,8,Flat,Render,Double-pane,Electric,22,None,None,None,Private landlord,G,2019-12-09,202.7,,FALSE
BLD-00050,Mitte,10117,Invalidenstraße 20,52.5232,13.402739,1972,1970s block,12,1088.9,8,Mansard,Mixed,Triple-pane,Oil boiler,32,Full,Full,None,Corporate landlord,F,2015-05-28,185.9,2005,FALSE
BLD-00051,Spandau,13587,Frankfurter Allee 163,52.543604,13.210378,1993,Modern,16,1490.7,4,Pitched,Brick,Triple-pane,Gas boiler,19,Full,Full,Partial,Housing cooperative,D,2019-03-16,110.3,2001,FALSE
BLD-00052,Marzahn-Hellersdorf,12623,Britzer Damm 159,52.517649,13.545528,1997,Modern,17,1152.1,4,Mansard,Render,Triple-pane,Mixed,1,Full,Partial,Full,Municipal,D,2018-03-24,114.5,2003,FALSE
BLD-00053,Steglitz-Zehlendorf,14163,Prenzlauer Allee 117,52.458752,13.278188,1889,Gründerzeit,14,1427.1,8,Pitched,Concrete,Single-pane,Oil boiler,19,None,None,None,Housing cooperative,H,2015-03-31,259.8,2015,FALSE
BLD-00054,Marzahn-Hellersdorf,12619,Eberswalder Str. 59,52.550978,13.592162,1984,1980s block,9,802.3,5,Flat,Mixed,Double-pane,Mixed,3,None,Full,Partial,Housing cooperative,F,2023-11-05,175.1,2013,FALSE
BLD-00055,Friedrichshain-Kreuzberg,10961,Wrangelstr. 34,52.503168,13.44493,1897,Gründerzeit,58,4883.4,7,Mansard,Concrete,Single-pane,Heat pump,19,Partial,Partial,None,Housing cooperative,H,2016-04-16,266.4,1994,FALSE
BLD-00056,Charlottenburg-Wilmersdorf,10629,Richardstr. 24,52.523854,13.336321,1892,Gründerzeit,2,169.0,6,Hip,Prefab panel,Mixed,Oil boiler,25,None,None,None,Housing cooperative,G,2016-03-19,247.3,2020,TRUE
BLD-00057,Treptow-Köpenick,12489,Berliner Str. 163,52.485763,13.502137,1894,Gründerzeit,60,5442.5,6,Pitched,Concrete,Single-pane,Gas boiler,20,None,None,Partial,Municipal,G,2016-04-20,233.9,,FALSE
BLD-00058,Pankow,13158,Gatower Str. 108,52.562682,13.440344,1990,1980s block,25,2592.4,4,Pitched,Render,Mixed,Heat pump,18,Full,None,Partial,Private landlord,F,2022-09-28,174.6,2019,FALSE
BLD-00059,Charlottenburg-Wilmersdorf,10627,Gatower Str. 166,52.493477,13.327998,1946,Post-war,14,916.2,6,Pitched,Render,Single-pane,District heating,2,None,None,None,Private landlord,F,2023-10-28,198.6,,FALSE
BLD-00060,Marzahn-Hellersdorf,12627,Neuköllner Str. 151,52.513087,13.593561,1986,Plattenbau,57,4165.0,5,Flat,Prefab panel,Mixed,Gas boiler,18,None,None,None,Condominium,F,2016-06-16,191.1,2001,FALSE
BLD-00061,Mitte,10117,Greifswalder Str. 151,52.515297,13.409499,1946,Post-war,7,405.2,6,Hip,Sandstone,Single-pane,Gas boiler,31,Partial,None,None,Municipal,F,2023-09-22,184.1,1996,FALSE
BLD-00062,Charlottenburg-Wilmersdorf,10585,Heerstr. 78,52.515454,13.343613,1978,1970s block,2,219.8,2,Hip,Render,Triple-pane,Mixed,29,None,None,None,Private landlord,F,2015-11-27,160.2,,FALSE
BLD-00063,Pankow,13089,Sonnenallee 98,52.571216,13.432683,1987,1980s block,11,910.9,9,Hip,Brick,Mixed,Gas boiler,14,None,Full,None,Municipal,F,2020-01-24,176.6,2016,FALSE
BLD-00064,Neukölln,12055,Mariendorfer Damm 81,52.46956,13.415705,1998,Modern,13,1206.1,4,Hip,Brick,Double-pane,Gas boiler,6,Partial,Partial,Partial,Municipal,C,2016-01-31,91.3,2010,FALSE
BLD-00065,Treptow-Köpenick,12435,Karl-Marx-Str. 172,52.469323,13.536159,1896,Altbau,24,2465.9,8,Pitched,Prefab panel,Triple-pane,Gas boiler,33,None,Partial,None,Condominium,G,2016-09-25,246.3,2004,FALSE
BLD-00066,Steglitz-Zehlendorf,14195,Hellersdorfer Str. 58,52.44654,13.308635,1893,Gründerzeit,56,4955.7,2,Mansard,Brick,Single-pane,Mixed,20,None,None,None,Housing cooperative,H,2018-12-08,256.0,,FALSE
BLD-00067,Marzahn-Hellersdorf,12681,Karl-Marx-Allee 24,52.513131,13.591868,2006,Modern,8,624.7,8,Mansard,Concrete,Triple-pane,Oil boiler,21,Partial,Partial,Partial,Corporate landlord,C,2021-09-08,94.2,,FALSE
BLD-00068,Pankow,10115,Mariendorfer Damm 125,52.573698,13.404489,1986,1980s block,15,1002.8,6,Pitched,Prefab panel,Triple-pane,Gas boiler,19,Partial,Partial,Full,Corporate landlord,F,2020-06-16,161.0,2009,FALSE
BLD-00069,Tempelhof-Schöneberg,10777,Neuköllner Str. 36,52.455346,13.351099,1888,Gründerzeit,20,1232.0,7,Hip,Mixed,Single-pane,District heating,25,None,Full,None,Corporate landlord,G,2022-11-22,220.2,,FALSE
BLD-00070,Lichtenberg,13055,Schönhauser Allee 112,52.498243,13.530324,1899,Altbau,60,6145.0,3,Hip,Sandstone,Single-pane,Mixed,27,None,Full,Full,Housing cooperative,G,2016-04-16,246.6,2010,FALSE
BLD-00071,Marzahn-Hellersdorf,12683,Hauptstr. 112,52.547441,13.604384,1883,Gründerzeit,17,1485.6,8,Pitched,Render,Mixed,Oil boiler,15,None,None,Partial,Housing cooperative,H,2023-09-27,281.5,,FALSE
BLD-00072,Friedrichshain-Kreuzberg,10969,Hermannstr. 90,52.507749,13.474355,2010,Modern,28,1903.9,4,Flat,Prefab panel,Double-pane,District heating,10,Full,Partial,Full,Private landlord,C,2016-12-26,92.3,2021,FALSE
BLD-00073,Marzahn-Hellersdorf,12683,Köpenicker Str. 83,52.540651,13.601743,1900,Gründerzeit,22,1742.1,4,Hip,Render,Triple-pane,Electric,4,Partial,None,None,Housing cooperative,H,2020-09-09,274.5,,FALSE
BLD-00074,Mitte,10115,Hauptstr. 158,52.522375,13.384354,1987,1980s block,14,1216.9,9,Pitched,Render,Mixed,Mixed,13,None,None,Partial,Housing cooperative,F,2021-10-14,172.5,1999,FALSE
BLD-00075,Neukölln,12045,Hauptstr. 130,52.483384,13.460243,1995,Modern,3,281.8,5,Hip,Sandstone,Mixed,Electric,11,None,Full,Partial,Housing cooperative,C,2019-03-08,77.1,2008,FALSE
BLD-00076,Steglitz-Zehlendorf,12163,Berliner Str. 85,52.465515,13.298257,1905,Altbau,45,3178.3,8,Flat,Prefab panel,Single-pane,Mixed,10,Partial,Partial,Partial,Housing cooperative,H,2018-06-24,268.9,2015,FALSE
BLD-00077,Reinickendorf,13405,Karl-Marx-Str. 33,52.568931,13.320134,2006,Modern,4,331.9,8,Pitched,Prefab panel,Triple-pane,District heating,14,Full,Partial,Partial,Housing cooperative,C,2023-08-05,96.8,2014,FALSE
BLD-00078,Pankow,10439,Brunsbütteler Damm 139,52.55479,13.450931,1903,Gründerzeit,58,5301.6,2,Flat,Sandstone,Single-pane,District heating,12,None,None,Partial,Corporate landlord,H,2016-11-09,279.1,1992,FALSE
BLD-00079,Lichtenberg,13051,Kolonnenstr. 60,52.538631,13.512742,1982,1980s block,11,1151.9,9,Flat,Prefab panel,Mixed,Electric,29,Partial,None,Full,Municipal,E,2023-08-18,154.3,,FALSE
BLD-00080,Treptow-Köpenick,12555,Rummelsburger Str. 36,52.488313,13.561689,1888,Gründerzeit,5,515.4,9,Pitched,Mixed,Double-pane,Oil boiler,6,Partial,None,None,Condominium,H,2018-01-22,286.1,2022,FALSE
BLD-00081,Tempelhof-Schöneberg,10779,Kolonnenstr. 90,52.497589,13.345543,1896,Altbau,5,413.1,8,Flat,Render,Triple-pane,District heating,2,Partial,None,None,Housing cooperative,H,2016-02-10,268.6,2011,FALSE
BLD-00082,Pankow,10115,Warschauer Str. 121,52.554344,13.454679,1977,1970s block,2,112.1,3,Flat,Concrete,Single-pane,Mixed,34,Full,Partial,None,Municipal,F,2016-03-31,193.4,2005,FALSE
BLD-00083,Mitte,10117,Innsbrucker Str. 17,52.523397,13.409695,1901,Altbau,40,3590.3,2,Flat,Mixed,Single-pane,Heat pump,1,None,None,None,Corporate landlord,G,2018-12-16,236.2,,FALSE
BLD-00084,Lichtenberg,10317,Heerstr. 140,52.518557,13.495242,1987,1980s block,19,1453.0,2,Hip,Brick,Mixed,Heat pump,24,None,None,None,Housing cooperative,E,2023-05-20,158.7,,FALSE
BLD-00085,Steglitz-Zehlendorf,12169,Lichtenberger Str. 86,52.462982,13.296543,1961,Plattenbau,24,2393.8,7,Flat,Prefab panel,Mixed,Heat pump,31,Partial,None,Partial,Condominium,F,2016-07-06,195.2,,FALSE
BLD-00086,Neukölln,12043,Wrangelstr. 11,52.46527,13.412628,1960,Post-war,11,1203.4,8,Hip,Prefab panel,Single-pane,Mixed,13,None,None,None,Housing cooperative,F,2019-01-02,199.3,1993,FALSE
BLD-00087,Steglitz-Zehlendorf,14163,Zehlendorfer Str. 113,52.435601,13.273122,1973,1970s block,7,651.4,9,Mansard,Sandstone,Single-pane,Gas boiler,28,Partial,Full,Full,Private landlord,F,2019-10-30,161.6,2001,FALSE
BLD-00088,Steglitz-Zehlendorf,12165,Pappelallee 115,52.433603,13.299483,1990,1980s block,15,1394.1,4,Mansard,Render,Double-pane,Mixed,23,Partial,None,Full,Corporate landlord,F,2019-11-17,160.7,,FALSE
BLD-00089,Mitte,10115,Brunsbütteler Damm 174,52.528424,13.390311,1990,Plattenbau,3,305.0,4,Hip,Prefab panel,Double-pane,District heating,5,None,Partial,Full,Condominium,F,2023-09-24,194.1,2014,FALSE
BLD-00090,Marzahn-Hellersdorf,12619,Richardstr. 96,52.537229,13.587534,1969,1970s block,20,1682.4,4,Hip,Prefab panel,Double-pane,Gas boiler,2,None,None,None,Condominium,F,2020-08-06,197.3,1997,FALSE
BLD-00091,Spandau,13595,Nonnendammallee 52,52.519656,13.222831,1878,Altbau,56,4472.3,3,Hip,Brick,Triple-pane,Mixed,23,Partial,Partial,None,Private landlord,G,2021-03-02,212.2,2009,FALSE
BLD-00092,Reinickendorf,13407,Potsdamer Str. 52,52.590716,13.3307,1884,Gründerzeit,17,959.6,9,Mansard,Render,Mixed,District heating,6,None,None,None,Private landlord,G,2018-06-20,231.2,2020,FALSE
BLD-00093,Tempelhof-Schöneberg,10779,Berliner Str. 116,52.46064,13.352192,1978,1970s block,18,1117.1,7,Flat,Concrete,Single-pane,Gas boiler,8,None,Partial,None,Corporate landlord,F,2016-09-18,162.1,,FALSE
BLD-00094,Reinickendorf,13409,Eberswalder Str. 21,52.570571,13.365272,1949,Post-war,22,1361.5,6,Mansard,Sandstone,Single-pane,Electric,11,None,None,None,Corporate landlord,G,2021-07-06,204.9,,FALSE
BLD-00095,Reinickendorf,13437,Karl-Marx-Allee 21,52.592914,13.335089,1911,Altbau,51,4631.4,6,Hip,Sandstone,Triple-pane,Mixed,35,None,None,None,Housing cooperative,G,2022-03-14,232.9,2020,FALSE
BLD-00096,Lichtenberg,13057,Müllerstr. 41,52.508385,13.475108,1974,1970s block,17,1125.8,9,Flat,Prefab panel,Triple-pane,Mixed,23,None,None,None,Municipal,E,2016-06-19,159.2,2022,FALSE
BLD-00097,Steglitz-Zehlendorf,12169,Greifswalder Str. 37,52.450991,13.264072,1873,Altbau,20,2050.6,8,Hip,Concrete,Double-pane,Oil boiler,21,None,None,Partial,Condominium,H,2023-07-23,267.1,,FALSE
BLD-00098,Neukölln,12057,Hauptstr. 101,52.485768,13.439842,1986,1980s block,9,783.8,5,Pitched,Brick,Triple-pane,Heat pump,31,None,None,None,Housing cooperative,E,2021-01-07,136.3,,FALSE
BLD-00099,Pankow,13089,Richardstr. 12,52.576375,13.448747,1968,1970s block,20,1498.8,5,Mansard,Brick,Single-pane,Heat pump,18,Full,Partial,Full,Corporate landlord,E,2022-08-18,133.8,1998,FALSE
BLD-00100,Tempelhof-Schöneberg,12101,Richardstr. 37,52.49077,13.353736,1979,Plattenbau,34,2805.1,8,Pitched,Prefab panel,Single-pane,Mixed,22,None,Partial,Full,Municipal,G,2020-10-28,211.1,2022,FALSE
BLD-00101,Marzahn-Hellersdorf,12679,Pappelallee 152,52.517313,13.609343,1954,Post-war,28,2631.5,9,Mansard,Render,Triple-pane,Oil boiler,8,Partial,None,None,Municipal,F,2021-07-18,191.4,,FALSE
BLD-00102,Reinickendorf,13403,Lichtenberger Str. 148,52.581861,13.311242,1983,Plattenbau,5,321.9,9,Hip,Prefab panel,Double-pane,Mixed,16,None,None,Full,Private landlord,F,2021-06-03,182.1,1997,FALSE
BLD-00103,Neukölln,12053,Neuköllner Str. 106,52.469657,13.434778,1988,1980s block,17,1594.9,2,Flat,Sandstone,Triple-pane,Mixed,31,Full,None,Partial,Corporate landlord,F,2019-03-24,178.2,,FALSE
BLD-00104,Treptow-Köpenick,12489,Prenzlauer Allee 157,52.467314,13.547587,1971,1970s block,9,771.3,6,Flat,Prefab panel,Mixed,District heating,32,None,None,None,Housing cooperative,F,2020-05-19,162.2,,FALSE
BLD-00105,Reinickendorf,13435,Gatower Str. 98,52.567951,13.335878,1973,1970s block,26,1845.3,4,Mansard,Mixed,Single-pane,Heat pump,17,Partial,Full,None,Municipal,E,2017-05-26,133.7,,FALSE
BLD-00106,Treptow-Köpenick,12487,Lichtenberger Str. 62,52.446864,13.541568,1961,Plattenbau,44,3963.8,5,Pitched,Prefab panel,Single-pane,Oil boiler,31,None,Full,Partial,Private landlord,G,2022-08-22,211.1,1990,FALSE
BLD-00107,Pankow,13158,Spandauer Str. 123,52.572645,13.459258,1996,Modern,26,1889.3,6,Pitched,Brick,Mixed,Electric,15,Full,Partial,Full,Corporate landlord,D,2023-04-14,113.7,1998,FALSE
BLD-00108,Pankow,13158,Schönhauser Allee 102,52.584112,13.395821,1895,Gründerzeit,13,1341.9,6,Pitched,Prefab panel,Single-pane,Gas boiler,22,None,None,None,Housing cooperative,H,2020-02-05,264.9,2023,FALSE
BLD-00109,Pankow,13189,Potsdamer Str. 85,52.563401,13.397353,1983,Plattenbau,31,2930.2,6,Pitched,Prefab panel,Mixed,Oil boiler,19,Partial,None,Partial,Corporate landlord,F,2022-07-25,179.7,2001,FALSE
BLD-00110,Lichtenberg,13057,Hauptstr. 103,52.532215,13.50607,1993,Modern,7,568.8,4,Flat,Brick,Triple-pane,Heat pump,16,None,Full,Partial,Municipal,D,2023-06-15,109.1,,FALSE
BLD-00111,Marzahn-Hellersdorf,12619,Greifswalder Str. 16,52.52177,13.565169,1993,Modern,16,1020.6,6,Mansard,Mixed,Double-pane,Mixed,19,None,Partial,Partial,Housing cooperative,C,2021-11-22,83.6,,FALSE
BLD-00112,Neukölln,12047,Richardstr. 107,52.470924,13.46933,2007,Modern,17,1647.3,5,Pitched,Sandstone,Triple-pane,Electric,24,Partial,Partial,None,Private landlord,D,2021-04-29,123.5,,FALSE
BLD-00113,Treptow-Köpenick,12459,Sonnenallee 134,52.468635,13.494985,1969,1970s block,23,2171.9,5,Hip,Brick,Triple-pane,Gas boiler,30,Full,Partial,None,Condominium,F,2020-10-03,169.2,1993,FALSE
BLD-00114,Lichtenberg,13053,Bergmannstr. 56,52.527548,13.497716,1980,1980s block,3,221.8,8,Pitched,Sandstone,Double-pane,Gas boiler,31,None,Partial,Partial,Private landlord,F,2018-03-21,176.6,1998,FALSE
BLD-00115,Reinickendorf,13439,Kolonnenstr. 97,52.571851,13.361307,1969,1970s block,23,2091.7,4,Mansard,Brick,Single-pane,Electric,26,Partial,Partial,None,Corporate landlord,E,2016-06-05,136.8,2004,FALSE
BLD-00116,Mitte,10119,Mariendorfer Damm 137,52.52426,13.405955,1971,1970s block,9,666.3,9,Mansard,Concrete,Mixed,Gas boiler,3,None,None,Partial,Municipal,F,2021-11-23,177.3,1991,FALSE
BLD-00117,Friedrichshain-Kreuzberg,10245,Müllerstr. 63,52.509849,13.446786,1991,Modern,14,950.4,9,Flat,Brick,Double-pane,Electric,19,None,None,None,Condominium,D,2023-03-16,105.2,2012,FALSE
